(<http://dbpedia.org/resource/Barbara_Snyder>,<http://dbpedia.org/resource/David_Naylor>) (14,0) :	sim: 0.717
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.091	9.1%
	<http://dbpedia.org/property/name> ( 51 ) : 0.091	9.1%
	<http://dbpedia.org/property/office> ( 53 ) : 0.091	9.1%
	<http://dbpedia.org/property/shortDescription> ( 65 ) : 0.091	9.1%
	<http://dbpedia.org/property/spouse> ( 69 ) : 0.091	9.1%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.091	9.1%
	<http://purl.org/dc/elements/1.1/description> ( 81 ) : 0.091	9.1%
	<http://xmlns.com/foaf/0.1/givenName> ( 82 ) : 0.091	9.1%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.091	9.1%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.091	9.1%
	<http://xmlns.com/foaf/0.1/surname> ( 88 ) : 0.091	9.1%
(<http://dbpedia.org/resource/Barbara_Snyder>,<http://dbpedia.org/resource/Lester_Lefton>) (14,4) :	sim: 0.664
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.100	10.0%
	<http://dbpedia.org/property/name> ( 51 ) : 0.100	10.0%
	<http://dbpedia.org/property/shortDescription> ( 65 ) : 0.100	10.0%
	<http://dbpedia.org/property/spouse> ( 69 ) : 0.100	10.0%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.100	10.0%
	<http://purl.org/dc/elements/1.1/description> ( 81 ) : 0.100	10.0%
	<http://xmlns.com/foaf/0.1/givenName> ( 82 ) : 0.100	10.0%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.100	10.0%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.100	10.0%
	<http://xmlns.com/foaf/0.1/surname> ( 88 ) : 0.100	10.0%
(<http://dbpedia.org/resource/Lester_Lefton>,<http://dbpedia.org/resource/David_Naylor>) (4,0) :	sim: 0.597
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.100	10.0%
	<http://dbpedia.org/property/name> ( 51 ) : 0.100	10.0%
	<http://dbpedia.org/property/shortDescription> ( 65 ) : 0.100	10.0%
	<http://dbpedia.org/property/spouse> ( 69 ) : 0.100	10.0%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.100	10.0%
	<http://purl.org/dc/elements/1.1/description> ( 81 ) : 0.100	10.0%
	<http://xmlns.com/foaf/0.1/givenName> ( 82 ) : 0.100	10.0%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.100	10.0%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.100	10.0%
	<http://xmlns.com/foaf/0.1/surname> ( 88 ) : 0.100	10.0%
(<http://dbpedia.org/resource/Kent,_Ohio>,<http://dbpedia.org/resource/Cleveland>) (12,6) :	sim: 0.575
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.042	4.2%
	<http://dbpedia.org/property/blank1Name> ( 9 ) : 0.042	4.2%
	<http://dbpedia.org/property/coordinatesDisplay> ( 18 ) : 0.042	4.2%
