1275
-common_pairs-
vid1 #-# vid2 #-# minhash_sim
276 #-# 461 #-# -1
1648 #-# 1565 #-# -1
1808 #-# 1248 #-# -1
1 #-# 184 #-# -1
276 #-# 458 #-# -1
1811 #-# 1457 #-# -1
1808 #-# 456 #-# -1
860 #-# 1245 #-# -1
13 #-# 184 #-# -1
276 #-# 459 #-# -1
860 #-# 1247 #-# -1
1648 #-# 1809 #-# -1
860 #-# 1639 #-# -1
276 #-# 1986 #-# -1
1250 #-# 283 #-# -1
1811 #-# 1996 #-# -1
1648 #-# 456 #-# -1
276 #-# 1645 #-# -1
276 #-# 1811 #-# -1
276 #-# 1996 #-# -1
13 #-# 2 #-# -1
1811 #-# 462 #-# -1
1992 #-# 1988 #-# -1
1647 #-# 1987 #-# -1
7 #-# 13 #-# -1
1647 #-# 1986 #-# -1
1647 #-# 1645 #-# -1
7 #-# 1 #-# -1
1565 #-# 281 #-# -1
7 #-# 184 #-# -1
465 #-# 856 #-# -1
465 #-# 1247 #-# -1
465 #-# 1560 #-# -1
6 #-# 182 #-# -1
6 #-# 1 #-# -1
7 #-# 9 #-# -1
463 #-# 1809 #-# -1
465 #-# 457 #-# -1
7 #-# 2 #-# -1
1565 #-# 279 #-# -1
1647 #-# 1803 #-# -1
464 #-# 645 #-# -1
464 #-# 277 #-# -1
464 #-# 280 #-# -1
182 #-# 183 #-# -1
464 #-# 857 #-# -1
464 #-# 279 #-# -1
464 #-# 1452 #-# -1
464 #-# 641 #-# -1
464 #-# 278 #-# -1
464 #-# 282 #-# -1
464 #-# 1560 #-# -1
182 #-# 3 #-# -1
1813 #-# 1251 #-# -1
1992 #-# 1807 #-# -1
1813 #-# 643 #-# -1
1813 #-# 1454 #-# -1
1813 #-# 642 #-# -1
182 #-# 10 #-# -1
463 #-# 283 #-# -1
463 #-# 647 #-# -1
7 #-# 4 #-# -1
1813 #-# 856 #-# -1
6 #-# 281 #-# -1
182 #-# 2 #-# -1
1560 #-# 1452 #-# -1
1560 #-# 279 #-# -1
1560 #-# 641 #-# -1
862 #-# 457 #-# -1
1560 #-# 283 #-# -1
1560 #-# 278 #-# -1
1566 #-# 1456 #-# -1
1566 #-# 1247 #-# -1
861 #-# 1248 #-# -1
1566 #-# 1562 #-# -1
461 #-# 1645 #-# -1
2 #-# 183 #-# -1
461 #-# 1807 #-# -1
2 #-# 185 #-# -1
1982 #-# 1645 #-# -1
1250 #-# 1456 #-# -1
862 #-# 1025 #-# -1
862 #-# 1028 #-# -1
861 #-# 1249 #-# -1
1989 #-# 1647 #-# -1
1989 #-# 1986 #-# -1
465 #-# 641 #-# -1
1989 #-# 1985 #-# -1
184 #-# 185 #-# -1
1989 #-# 1993 #-# -1
1981 #-# 1246 #-# -1
1981 #-# 1028 #-# -1
1981 #-# 1638 #-# -1
184 #-# 183 #-# -1
465 #-# 1566 #-# -1
462 #-# 1996 #-# -1
1561 #-# 1454 #-# -1
644 #-# 862 #-# -1
12 #-# 185 #-# -1
1027 #-# 1031 #-# -1
644 #-# 1024 #-# -1
1027 #-# 1249 #-# -1
5 #-# 9 #-# -1
1453 #-# 1809 #-# -1
644 #-# 1023 #-# -1
1807 #-# 1994 #-# -1
1452 #-# 277 #-# -1
12 #-# 184 #-# -1
1454 #-# 283 #-# -1
