"s"	"p"	"o"
"http://dbpedia.org/resource/David_Naylor"	"http://dbpedia.org/property/hasPhotoCollection"	"http://wifo5-03.informatik.uni-mannheim.de/flickrwrappr/photos/David_Naylor"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/hasPhotoCollection"	"http://wifo5-03.informatik.uni-mannheim.de/flickrwrappr/photos/Toronto"
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/hasPhotoCollection"	"http://wifo5-03.informatik.uni-mannheim.de/flickrwrappr/photos/University_of_Chicago"
"http://dbpedia.org/resource/Lester_Lefton"	"http://dbpedia.org/property/hasPhotoCollection"	"http://wifo5-03.informatik.uni-mannheim.de/flickrwrappr/photos/Lester_Lefton"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/hasPhotoCollection"	"http://wifo5-03.informatik.uni-mannheim.de/flickrwrappr/photos/Chicago"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/hasPhotoCollection"	"http://wifo5-03.informatik.uni-mannheim.de/flickrwrappr/photos/Illinois"
"http://dbpedia.org/resource/Kent_State_University"	"http://dbpedia.org/property/hasPhotoCollection"	"http://wifo5-03.informatik.uni-mannheim.de/flickrwrappr/photos/Kent_State_University"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/hasPhotoCollection"	"http://wifo5-03.informatik.uni-mannheim.de/flickrwrappr/photos/Ohio"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/hasPhotoCollection"	"http://wifo5-03.informatik.uni-mannheim.de/flickrwrappr/photos/Ontario"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/hasPhotoCollection"	"http://wifo5-03.informatik.uni-mannheim.de/flickrwrappr/photos/Kent,_Ohio"
"http://dbpedia.org/resource/University_of_Toronto"	"http://dbpedia.org/property/hasPhotoCollection"	"http://wifo5-03.informatik.uni-mannheim.de/flickrwrappr/photos/University_of_Toronto"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/settledDate"	1750
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/settledTitle"	"Settled"
"http://dbpedia.org/resource/Kent_State_University"	"http://dbpedia.org/property/alumni"	196000
"http://dbpedia.org/resource/University_of_Toronto"	"http://dbpedia.org/property/arwuEng"	12
"http://dbpedia.org/resource/University_of_Toronto"	"http://dbpedia.org/property/arwuLife"	47
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/arwuSci"	14
"http://dbpedia.org/resource/University_of_Toronto"	"http://dbpedia.org/property/arwuSci"	35
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/ft"	11
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/gur"	10
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/nobelLaureates"	89
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/quartersize"	200
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/shieldLink"	"Coat of arms of Toronto"
"http://dbpedia.org/resource/Lester_Lefton"	"http://dbpedia.org/property/university"	"http://dbpedia.org/resource/Kent_State_University"
"http://dbpedia.org/resource/Lester_Lefton"	"http://dbpedia.org/property/university"	"President of"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/2000density"	89.4
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/2000density"	109
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/2000densityus"	232
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/2000densityus"	282
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/2000pop"	12882135
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/2000pop"	11570808
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/admittancedate"	1818-12-03+02:00
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/admittancedate"	1803-03-01+02:00
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/admittancedate"	1867-07-01+02:00
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/admittanceorder"	"21.0"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/admittanceorder"	17
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/admittanceorder"	1953-08-07+02:00
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/admittanceorder"	"declared retroactively on"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/admittanceorder"	1
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/affiliations"	568
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/affiliations"	"http://dbpedia.org/resource/Association_of_American_Universities"
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/affiliations"	"http://dbpedia.org/resource/National_Association_of_Independent_Colleges_and_Universities"
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/affiliations"	"http://dbpedia.org/resource/Committee_on_Institutional_Cooperation"
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/affiliations"	"http://dbpedia.org/resource/Universities_Research_Association"
